date,,,,close
2016/12/29,,,,12.99 
2016/12/30,,,,12.84 
2017/1/3,,,,12.87 
2017/1/4,,,,12.90 
2017/1/5,,,,12.95 
2017/1/6,,,,12.96 
2017/1/9,,,,12.96 
2017/1/10,,,,12.97 
2017/1/11,,,,12.96 
2017/1/12,,,,13.00 
2017/1/13,,,,13.01 
2017/1/17,,,,13.10 
2017/1/18,,,,13.01 
2017/1/19,,,,13.01 
2017/1/20,,,,13.02 
2017/1/23,,,,13.10 
2017/1/24,,,,13.11 
2017/1/25,,,,13.13 
2017/1/26,,,,13.13 
2017/1/27,,,,13.09 
2017/1/30,,,,13.08 
2017/1/31,,,,12.99 
2017/2/1,,,,13.00 
2017/2/2,,,,13.09 
2017/2/3,,,,13.04 
2017/2/6,,,,13.06 
2017/2/7,,,,13.06 
2017/2/8,,,,13.05 
2017/2/9,,,,13.06 
2017/2/10,,,,13.15 
2017/2/13,,,,13.09 
2017/2/14,,,,13.16 
2017/2/15,,,,13.10 
2017/2/16,,,,13.09 
2017/2/17,,,,13.08 
2017/2/21,,,,13.17 
2017/2/22,,,,13.19 
2017/2/23,,,,13.22 
2017/2/24,,,,13.23 
2017/2/27,,,,13.16 
2017/2/28,,,,13.08 
2017/3/1,,,,13.09 
2017/3/2,,,,13.07 
2017/3/3,,,,13.09 
2017/3/6,,,,13.07 
2017/3/7,,,,13.05 
2017/3/8,,,,12.99 
2017/3/9,,,,12.94 
2017/3/10,,,,12.97 
2017/3/13,,,,12.95 
2017/3/14,,,,12.91 
2017/3/15,,,,12.97 
2017/3/16,,,,13.08 
2017/3/17,,,,13.03 
2017/3/20,,,,13.10 
2017/3/21,,,,13.03 
2017/3/22,,,,13.01 
2017/3/23,,,,13.02 
2017/3/24,,,,13.11 
2017/3/27,,,,13.10 
2017/3/28,,,,13.10 
2017/3/29,,,,13.14 
2017/3/30,,,,13.17 
2017/3/31,,,,13.01 
2017/4/3,,,,13.02 
2017/4/4,,,,13.02 
2017/4/5,,,,13.04 
2017/4/6,,,,13.02 
2017/4/7,,,,13.03 
2017/4/10,,,,13.04 
2017/4/11,,,,13.05 
2017/4/12,,,,13.05 
2017/4/13,,,,13.07 
2017/4/18,,,,13.08 
2017/4/19,,,,13.08 
2017/4/20,,,,13.09 
2017/4/21,,,,13.10 
2017/4/24,,,,13.13 
2017/4/25,,,,13.20 
2017/4/26,,,,13.20 
2017/4/27,,,,13.21 
2017/4/28,,,,13.08 
2017/5/2,,,,13.10 
2017/5/3,,,,13.10 
2017/5/4,,,,13.07 
2017/5/5,,,,13.07 
2017/5/8,,,,13.06 
2017/5/9,,,,13.06 
2017/5/10,,,,13.07 
2017/5/11,,,,13.09 
2017/5/12,,,,13.11 
2017/5/15,,,,13.13 
2017/5/16,,,,13.15 
2017/5/17,,,,13.13 
2017/5/18,,,,13.03 
2017/5/19,,,,13.05 
2017/5/22,,,,13.07 
2017/5/23,,,,13.08 
2017/5/24,,,,13.18 
2017/5/26,,,,13.20 
2017/5/30,,,,13.14 
2017/5/31,,,,13.06 
2017/6/1,,,,13.07 
2017/6/2,,,,13.09 
2017/6/6,,,,13.10 
2017/6/7,,,,13.08 
2017/6/8,,,,13.07 
2017/6/9,,,,13.07 
2017/6/12,,,,13.07 
2017/6/13,,,,13.08 
2017/6/14,,,,13.10 
2017/6/15,,,,13.08 
2017/6/16,,,,13.08 
2017/6/19,,,,13.07 
2017/6/20,,,,13.04 
2017/6/21,,,,13.02 
2017/6/22,,,,13.03 
2017/6/26,,,,13.12 
2017/6/27,,,,13.06 
2017/6/28,,,,13.05 
2017/6/29,,,,13.05 
2017/6/30,,,,12.96 
2017/7/3,,,,12.95 
2017/7/5,,,,12.94 
2017/7/6,,,,12.92 
2017/7/7,,,,12.91 
2017/7/10,,,,12.92 
2017/7/11,,,,12.93 
2017/7/12,,,,12.97 
2017/7/13,,,,12.99 
2017/7/14,,,,13.02 
2017/7/17,,,,13.04 
2017/7/18,,,,13.06 
2017/7/19,,,,13.07 
2017/7/20,,,,13.08 
2017/7/21,,,,13.09 
2017/7/24,,,,13.08 
2017/7/25,,,,13.07 
2017/7/26,,,,13.15 
2017/7/27,,,,13.09 
2017/7/28,,,,13.10 
2017/7/31,,,,13.02 
2017/8/1,,,,13.02 
2017/8/2,,,,13.03 
2017/8/3,,,,13.03 
2017/8/4,,,,13.03 
2017/8/7,,,,13.03 
2017/8/8,,,,13.01 
2017/8/9,,,,12.98 
2017/8/10,,,,12.94 
2017/8/11,,,,12.94 
2017/8/14,,,,12.97 
2017/8/16,,,,12.99 
2017/8/17,,,,12.97 
2017/8/18,,,,12.97 
2017/8/21,,,,12.98 
2017/8/22,,,,12.97 
2017/8/23,,,,13.04 
2017/8/24,,,,12.99 
2017/8/25,,,,13.01 
2017/8/28,,,,13.02 
2017/8/29,,,,13.01 
2017/8/30,,,,13.02 
2017/8/31,,,,12.95 
2017/9/1,,,,12.97 
2017/9/5,,,,12.98 
2017/9/6,,,,12.99 
2017/9/7,,,,13.00 
2017/9/8,,,,13.00 
